date, followers, following, tweets
Thu Jun 08 2017 15:15:33 GMT+0200 (SAST), 3168, 2151, 11977
Thu Jun 08 2017 16:39:28 GMT+0200 (SAST), 3168, 2151, 11977
Thu Jun 08 2017 17:19:10 GMT+0200 (SAST), 3168, 2151, 11977
Thu Jun 08 2017 18:00:02 GMT+0200 (SAST), 3168, 2151, 11977
Thu Jun 08 2017 19:57:24 GMT+0200 (SAST), 3168, 2151, 11977
Thu Jun 08 2017 20:00:02 GMT+0200 (SAST), 3168, 2151, 11977
Fri Jun 09 2017 08:39:54 GMT+0200 (SAST), 3167, 2152, 11980
Fri Jun 09 2017 09:00:02 GMT+0200 (SAST), 3167, 2152, 11981
Fri Jun 09 2017 10:00:02 GMT+0200 (SAST), 3167, 2152, 11981
Fri Jun 09 2017 11:19:52 GMT+0200 (SAST), 3166, 2152, 11981
Fri Jun 09 2017 12:00:03 GMT+0200 (SAST), 3166, 2152, 11982
Fri Jun 09 2017 13:00:03 GMT+0200 (SAST), 3167, 2152, 11983
Fri Jun 09 2017 14:25:35 GMT+0200 (SAST), 3167, 2152, 11983
Fri Jun 09 2017 15:00:02 GMT+0200 (SAST), 3167, 2152, 11983
Fri Jun 09 2017 17:16:24 GMT+0200 (SAST), 3166, 2152, 11983
Fri Jun 09 2017 18:00:03 GMT+0200 (SAST), 3166, 2152, 11983
Wed Jun 21 2017 16:52:18 GMT+0200 (SAST), 3185, 2163, 12037
Wed Jun 21 2017 17:00:02 GMT+0200 (SAST), 3185, 2163, 12037
Wed Jun 21 2017 18:00:01 GMT+0200 (SAST), 3184, 2163, 12037
Wed Jun 21 2017 19:00:03 GMT+0200 (SAST), 3183, 2163, 12037
Wed Jun 21 2017 20:02:13 GMT+0200 (SAST), 3183, 2163, 12037
Wed Jun 21 2017 21:00:01 GMT+0200 (SAST), 3183, 2163, 12037
Thu Jun 22 2017 08:33:40 GMT+0200 (SAST), 3182, 2163, 12037
Thu Jun 22 2017 09:00:02 GMT+0200 (SAST), 3183, 2163, 12037
Thu Jun 22 2017 11:20:24 GMT+0200 (SAST), 3183, 2163, 12037
Thu Jun 22 2017 12:00:01 GMT+0200 (SAST), 3183, 2163, 12037
Thu Jun 22 2017 13:00:02 GMT+0200 (SAST), 3183, 2163, 12037
Thu Jun 22 2017 14:00:02 GMT+0200 (SAST), 3183, 2163, 12037
Thu Jun 22 2017 15:36:09 GMT+0200 (SAST), 3184, 2164, 12041
Thu Jun 22 2017 16:00:01 GMT+0200 (SAST), 3184, 2164, 12041
Sun Nov 05 2017 09:55:41 GMT+0200 (SAST), 3241, 2204, 12542
Sun Nov 05 2017 10:10:15 GMT+0200 (SAST), 3241, 2204, 12542
Sun Nov 05 2017 10:14:29 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:14:53 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:15:32 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:16:11 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:16:42 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:17:57 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:19:08 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:20:57 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:23:35 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:24:15 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:26:11 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:28:43 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:28:59 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:29:17 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:29:56 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:30:17 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:48:41 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:49:30 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:50:57 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:53:10 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:53:35 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:54:11 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:54:20 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:54:42 GMT+0200 (SAST), undefined, undefined, undefined
Sun Nov 05 2017 10:55:59 GMT+0200 (SAST), undefined, undefined, undefined
